source_row_idx,ocid,tender_title,tender_datePublished,tender_procurementMethod,tender_numberOfTenderers,tender_value_amount,award_value_amount,buyer_name,supplier_name,flag_short_title,flag_short_description,flag_q4_timing,flag_price_deviation,flag_high_value,flag_repeat_pair_history,flag_supplier_recent_surge,flag_buyer_value_spike,flag_count,risk_label,verified_label,confidence,notes
7866,ocds-20h3g7-RUP-23427198-39938513,Pengawasan Pembuatan / Peningkatan / Rehab / Normalisasi Irigasi Kecamatan Sebulu,2023-01-19 12:50:53,,,,,Pemerintah Daerah Kabupaten Kutai Kartanegara,,False,False,False,False,False,False,False,False,0,0,,,
4683,ocds-20h3g7-RUP-7497263-39273369,Lanjutan Rehabilitasi Rumah Jabatan Wakil Ketua 02 DPRD ProvinsiSulawesi Barat,2023-01-14 04:34:17,,,,,Pemerintah Daerah Provinsi Sulawesi Barat,,False,False,False,False,False,False,False,False,0,0,,,
19257,ocds-20h3g7-90910114,Pengadaan dan Pengiriman Kendaraan Foam Tender PKP-PK Tipe IV,2023-02-08 00:00:00,,,6499993500.0,6476850000.0,Kementerian Perhubungan,PT. ANUGERAH PUTRA JAYA,False,False,False,False,False,False,False,False,0,0,,,
33378,ocds-20h3g7-3060096,Belanja Jasa Konsultansi Pengawasan Rekayasa-Jasa Pengawas Pekerjaan Konstruksi Bangunan Gedung Puskesmas Gerunggang,2023-03-03 00:00:00,,,200000000.0,199887801.0,LPSE Kota Pangkal Pinang,CV. GUNUNG KENCANA,False,False,False,False,False,False,False,False,0,0,,,
8905,ocds-20h3g7-9049097,PENGAWASAN TEKNIS PENINGKATAN JALAN  SUNGAI DURIAN  RASAU JAYA (DAK),2023-01-23 00:00:00,,,913740000.0,831029250.0,Pemerintah Daerah Provinsi Kalimantan Barat,CV. CAHAYA KONSULTAN,False,False,False,False,False,False,False,False,0,0,,,
22319,ocds-20h3g7-RUP-3343188-40747202,"Pengadaan Perahu Bermotor Dilengkapi Dengan Alat Penangkapan Ikan, Sarana Pendukung Penangkapan Ikan, dan Sarana Keselamatan Pelayaran (DAK)",2023-02-13 08:41:55,,,,,Pemerintah Daerah Kabupaten Kubu Raya,,False,False,False,False,False,False,False,False,0,0,,,
15762,ocds-20h3g7-RUP-5045031-41016619,Belanja Modal Jalan Desa ( Peningkatan Jalan Lapangan Bola Sempan Kec. Pemali ),2023-02-02 08:02:31,,,,,Pemerintah Daerah Kabupaten Bangka,,False,False,False,False,False,False,False,False,0,0,,,
92,ocds-20h3g7-RUP-17233168-39001157,"Lanjutan Peningkatan Jalan dari Samping Kantor Camat Lais - menuju dalam Desa Petaling dengan Aspal Hotmix, Kec. Lais",2023-01-04 17:08:29,,,,,Pemerintah Daerah Kabupaten Musi Banyuasin,,False,False,False,False,False,False,False,False,0,0,,,
1980,ocds-20h3g7-83156064,Supervisi Pembangunan Prasarana Pengendalian Banjir Rob Belawan (Lanjutan),2023-01-09 00:00:00,,,4847666481.0,4481453061.0,Kementerian Pekerjaan Umum dan Perumahan Rakyat,PT. Wahana Adya,False,False,False,False,False,False,False,False,0,0,,,
19040,ocds-20h3g7-RUP-4732172-41240767,"Peningkatan Jalan Lingkungan RT.10 Desa Tirta Jaya, Kec. Bajuin, Kab. Tanah Laut",2023-02-07 14:39:30,,,,,Pemerintah Daerah Kabupaten Tanah Laut,,False,False,False,False,False,False,False,False,0,0,,,
